,0
0,0.3329855890252891
1,0.7292162342929378
2,0.2569361098653809
3,0.25481067581322
4,0.40103129311065466
5,0.6946240837167924
6,0.720404905537744
7,0.7377757624061752
8,0.7067782468063173
9,0.29299027722683807
10,0.43745432701767045
11,0.7704062562620455
12,0.640120610637489
13,0.4016676996257509
14,0.763982714954492
15,0.4228007697613097
16,0.5120312044870241
17,0.7550029202077742
18,0.35181226469757054
19,0.3657317039639005
20,0.2378355132396121
21,0.5592090235429361
22,0.25635470924559894
23,0.2708565670154095
24,0.7375304885380007
25,0.4227628714480405
26,0.4449042104919422
27,0.24577467502736355
28,0.3401210877868077
29,0.2065732769497216
30,0.3843924362005658
31,0.4967505699320694
32,0.48776519333353713
33,0.2916447236743404
